F#,Smean,Ssd,Fmean,Fsd,Pvalue
F1,7.351,0.6949252557729578,8.363,0.8163067233991563,0.017257456083119765
F2,7.351,0.6949252557729578,6.952,0.8964597035003862,0.3846730627355087
F3,7.351,0.6949252557729578,6.965,0.6862012986159544,0.3846730627355087
F4,7.351,0.6949252557729578,7.663,0.5813021780642339,0.4961297149428171
F5,7.351,0.6949252557729578,10.866,0.5792945901889833,0.00018267179110955002
