F#,Smean,Ssd,Fmean,Fsd,Pvalue,CohenD
F1,11.988,3.628460953198875,16.441,4.956233897269623,0.025748080821108063,-1.0252372718145508
F2,11.988,3.628460953198875,9.414,1.915365935445931,0.0639221346034546,0.8872076800612848
F3,11.988,3.628460953198875,8.365,1.9469306327881557,0.02108547103525801,1.2442802238206832
F4,11.988,3.628460953198875,22.79,11.324050119595512,0.025748080821108063,-1.284679256675658
F5,11.988,3.628460953198875,13.882,5.908552746278529,0.5965631597626196,-0.38630251636576746
F6,11.988,3.628460953198875,14.17,6.082665534122356,0.34178646181502725,-0.43033657589193336
